point,x,y
1,0,13.8
2,2.69,13.53
3,5.28,12.75
4,7.67,11.47
5,9.76,9.76
6,11.47,7.67
7,12.75,5.28
8,13.53,2.69
9,13.8,0
10,13.53,-2.69
11,12.75,-5.28
12,11.47,-7.67
13,9.76,-9.76
14,7.67,-11.47
15,5.28,-12.75
16,2.69,-13.53
17,0,-13.8
18,-2.69,-13.53
19,-5.28,-12.75
20,-7.67,-11.47
21,-9.76,-9.76
22,-11.47,-7.67
23,-12.75,-5.28
24,-13.53,-2.69
25,-13.8,0
26,-13.53,2.69
27,-12.75,5.28
28,-11.47,7.67
29,-9.76,9.76
30,-7.67,11.47
31,-5.28,12.75
32,-2.69,13.53
