freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,2.791486,-1.732416E+02,-2.772089,9.689535e-06
50000,1.867729,-1.786405E+02,-1.867203,7.18302e-05
50000,1.011163,-1.681103E+02,-0.9894696,1.527926e-05
50000,0.6509934,-1.450416E+02,-0.5335335,8.533613e-06
50000,0.5292324,-1.443708E+02,-0.4301623,1.032477e-05
50000,0.42196,-1.370010E+02,-0.308607,1.106123e-05
50000,0.4436504,-1.426409E+02,-0.3526345,1.18238e-05
50000,0.5189732,-1.537555E+02,-0.4654748,1.387022e-05
50000,0.7723819,-1.577282E+02,-0.7147592,1.08737e-05
50000,1.076409,-1.717440E+02,-1.065253,2.059352e-05
50000,2.250269,-1.731131E+02,-2.234033,1.179671e-05
50000,5.553785,-1.787819E+02,-5.55253,2.69608e-05
50000,49.24108,+1.614607E+02,-46.68576,-2.033092e-07
50000,3.538722,+1.784149E+02,-3.537368,-3.251749e-05
50000,1.900435,-1.774639E+02,-1.898573,3.785182e-05
50000,1.046226,-1.596588E+02,-0.9809824,8.752498e-06
50000,0.7646363,-1.541178E+02,-0.6879382,9.536493e-06
50000,0.5360342,-1.430661E+02,-0.4284676,9.882341e-06
50000,0.5027322,-1.419213E+02,-0.3957328,1.026618e-05
50000,0.5128925,-1.484387E+02,-0.4370258,1.185719e-05
50000,0.6443943,-1.495531E+02,-0.5555318,9.747958e-06
50000,0.8960418,-1.488333E+02,-0.7667116,6.864144e-06
50000,1.396335,-1.628526E+02,-1.334267,7.731898e-06
50000,2.339312,-1.739378E+02,-2.32623,1.288436e-05
50000,7.235568,-1.798323E+02,-7.235537,0.0001503388
50000,50.07766,+1.579753E+02,-46.42312,-1.694995e-07
50000,3.9486,+1.731116E+02,-3.920097,-6.721341e-06
50000,1.920762,-1.764110E+02,-1.916994,2.647314e-05
50000,1.245787,-1.716293E+02,-1.232516,1.755151e-05
50000,0.7389869,-1.626059E+02,-0.7051937,1.440871e-05
50000,0.6013309,-1.574910E+02,-0.5555211,1.382714e-05
50000,0.510568,-1.597664E+02,-0.4790611,1.802648e-05
50000,0.7769673,-1.387466E+02,-0.5841244,6.213047e-06
50000,0.7436383,-1.444534E+02,-0.6050563,7.362749e-06
50000,0.8684565,-1.687952E+02,-0.8519028,1.886221e-05
50000,1.252119,-1.668895E+02,-1.219482,1.120738e-05
50000,2.600137,-1.749013E+02,-2.589848,1.377483e-05
50000,6.112917,+1.792778E+02,-6.112431,-4.131459e-05
50000,49.57178,+1.604913E+02,-46.72592,-1.922804e-07
50000,4.019628,+1.765218E+02,-4.012224,-1.305248e-05
