freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,33.9317,-1.242880E+00,33.92372,4.32486e-06
50000,53.33757,-1.789573E+00,53.31155,1.911001e-06
50000,68.18316,-2.384085E+00,68.12415,1.122275e-06
50000,73.87267,-1.113502E+00,73.85872,2.217304e-06
50000,78.0306,-1.086574E+00,78.01657,2.151169e-06
50000,77.80599,-8.112637E-01,77.79819,2.88943e-06
50000,80.73351,-7.121786E-01,80.72728,3.172059e-06
50000,79.13535,-1.163000E+00,79.11905,1.981765e-06
50000,77.41578,-6.650005E-01,77.41056,3.542673e-06
50000,68.28777,-9.101903E-01,68.27916,2.934377e-06
50000,63.32145,-1.245884E+00,63.30648,2.31195e-06
50000,51.77752,-1.128986E+00,51.76747,3.120119e-06
50000,34.62307,-1.519310E+00,34.6109,3.467461e-06
50000,34.46285,-2.928222E+00,34.41785,1.808034e-06
50000,56.02793,-3.370556E+00,55.93101,9.663117e-07
50000,65.5449,-1.876876E+00,65.50974,1.482778e-06
50000,72.22624,-1.763405E+00,72.19204,1.432169e-06
50000,74.03807,-1.401321E+00,74.01593,1.758018e-06
50000,78.71084,-1.255675E+00,78.69193,1.845422e-06
50000,78.77152,-1.693645E+00,78.7371,1.367239e-06
50000,78.75238,-1.204675E+00,78.73497,1.922521e-06
50000,71.63364,-1.556718E+00,71.60721,1.635683e-06
50000,69.24718,-1.730091E+00,69.21561,1.522536e-06
50000,61.14593,-1.574498E+00,61.12285,1.894601e-06
50000,49.8946,-1.810670E+00,49.86968,2.019074e-06
50000,30.37083,-2.541645E+00,30.34096,2.363435e-06
50000,38.1287,-4.587086E+00,38.00657,1.043874e-06
50000,54.79436,-2.613092E+00,54.73738,1.274186e-06
50000,65.28973,-2.376769E+00,65.23356,1.175616e-06
50000,69.77515,-1.871199E+00,69.73794,1.397106e-06
50000,76.54583,-1.628001E+00,76.51493,1.46371e-06
50000,78.40188,-2.042152E+00,78.35209,1.139332e-06
50000,80.06437,-1.574971E+00,80.03413,1.446491e-06
50000,74.85901,-1.799079E+00,74.82211,1.354409e-06
50000,74.65613,-1.817922E+00,74.61856,1.344017e-06
50000,69.13058,-1.503010E+00,69.1068,1.755458e-06
50000,61.57893,-1.451006E+00,61.55919,2.041352e-06
50000,48.45459,-1.631925E+00,48.43494,2.306727e-06
50000,33.92431,-1.491137E+00,33.91282,3.605731e-06
50000,35.80969,-3.562574E+00,35.74049,1.430501e-06
50000,53.82611,-3.281350E+00,53.73786,1.033153e-06
50000,62.639,-2.642810E+00,62.57238,1.102087e-06
50000,72.43261,-2.327740E+00,72.37284,1.081991e-06
50000,76.55437,-2.791145E+00,76.46355,8.538709e-07
50000,80.15154,-2.191387E+00,80.09292,1.038598e-06
50000,76.95384,-2.368742E+00,76.88808,1.000803e-06
50000,78.84615,-2.288976E+00,78.78324,1.010803e-06
50000,75.56606,-1.901947E+00,75.52443,1.269192e-06
50000,70.72584,-1.970596E+00,70.68401,1.308828e-06
50000,61.59081,-2.138363E+00,61.54792,1.385084e-06
50000,53.459,-2.024106E+00,53.42564,1.685811e-06
50000,34.55305,-3.377904E+00,34.49302,1.563474e-06
50000,36.10044,-4.528203E+00,35.98776,1.116829e-06
50000,52.19841,-3.292386E+00,52.11225,1.061803e-06
50000,66.28063,-2.894957E+00,66.19604,9.508868e-07
50000,73.40106,-3.234536E+00,73.28413,7.685801e-07
50000,79.33063,-2.493026E+00,79.25554,9.224484e-07
50000,78.34156,-2.641543E+00,78.25831,8.816104e-07
