point,X,Y
1,0.93369966861451,0
2,1.13743753555969,-0.02247034580408
3,1.33337919260353,-0.08181804292196
4,1.5011667843729,-0.19745521477188
5,1.64072844572043,-0.33970099323312
6,1.75033643351539,-0.50107052909276
7,1.82858169146139,-0.676057499752
8,1.85921884629525,-0.86309426516888
9,1.8430145756116,-1.04672977033903
10,1.79354495415632,-1.21776363166641
11,1.7044129075628,-1.36596964661193
12,1.6307340443034,-1.51247325006979
13,1.53346187480833,-1.64649197653286
14,1.42695347340966,-1.78493625705214
15,1.29257034261891,-1.91312021865842
16,1.12481471765095,-2.00928415041282
17,0.93369966861452,-2.07094707759897
18,0.72567348832821,-2.09254800188857
19,0.5162979858922,-2.05442657372463
20,0.31243359181761,-1.97652016102192
21,0.13852146742313,-1.84190797153043
22,0.04004511052751,-1.64385065573199
23,0,-1.43348083626245
24,0.02625267213259,-1.22723220068084
25,0.02779418327706,-1.04627400094426
26,0.01702088274402,-0.86439102291484
27,0.00835138724902,-0.66343796227882
28,0.08346607985117,-0.47862184908591
29,0.21057981280234,-0.32360991452687
30,0.36760198356671,-0.1995047126649
31,0.54022433387288,-0.09679628074646
32,0.7309589119716,-0.02748315780457
