freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,157.2257,-8.897283E+00,155.3338,1.308997e-07
50000,69.04322,-6.417052E+00,68.61064,4.125005e-07
50000,38.1179,-7.226523E+00,37.81511,6.638447e-07
50000,14.5818,-1.314591E+01,14.19967,9.598161e-07
50000,5.32927,-1.500401E+02,-4.617148,1.196023e-06
50000,26.36809,-1.780027E+02,-26.35207,3.463698e-06
50000,56.67518,+1.773004E+02,-56.61228,-1.192437e-06
50000,153.3074,+1.714624E+02,-151.6085,-1.398565e-07
50000,66.51465,+1.742880E+02,-66.18439,-4.808223e-07
50000,35.87433,+1.741071E+02,-35.68475,-8.64219e-07
50000,12.37721,+1.692878E+02,-12.16152,-1.383576e-06
50000,6.860267,+1.380848E+01,6.661999,-1.944009e-06
50000,28.43094,-2.955711E-01,28.43056,2.170309e-05
50000,58.97175,-3.561266E+00,58.85788,8.689685e-07
50000,146.2588,-9.019471E+00,144.4503,1.388242e-07
50000,65.41447,-4.849421E+00,65.18031,5.756091e-07
50000,34.53833,-7.684210E+00,34.22818,6.892469e-07
50000,15.3629,-1.656991E+01,14.72491,7.265247e-07
50000,5.338504,-1.448981E+02,-4.367594,1.036903e-06
50000,26.27557,-1.781836E+02,-26.26237,3.821961e-06
50000,62.18945,+1.764676E+02,-62.0713,-8.307378e-07
50000,141.837,+1.716955E+02,-140.3497,-1.553786e-07
50000,62.99462,+1.761011E+02,-62.84883,-7.431347e-07
50000,32.29583,+1.737788E+02,-32.10564,-9.095123e-07
50000,13.08134,+1.654171E+02,-12.65992,-9.664438e-07
50000,6.683879,+1.679706E+01,6.398707,-1.647972e-06
50000,28.37301,-4.560030E-01,28.37211,1.409627e-05
50000,64.64446,-4.449348E+00,64.44964,6.347192e-07
50000,145.1172,-1.249174E+01,141.6818,1.014091e-07
50000,59.02129,-4.786083E+00,58.8155,6.463816e-07
50000,34.04278,-7.797193E+00,33.72803,6.892088e-07
50000,14.43999,-1.472912E+01,13.96547,8.670085e-07
50000,5.658377,-1.573786E+02,-5.223058,1.462524e-06
50000,31.18921,+1.776551E+02,-31.1631,-2.494373e-06
50000,61.79236,+1.754961E+02,-61.60154,-6.559868e-07
50000,141.5821,+1.679158E+02,-138.4447,-1.073915e-07
50000,56.64823,+1.760743E+02,-56.51532,-8.207467e-07
50000,31.78408,+1.735534E+02,-31.5831,-8.919643e-07
50000,12.19601,+1.676506E+02,-11.91381,-1.220329e-06
50000,7.392953,+9.382375E+00,7.294053,-2.641099e-06
50000,33.48426,-4.055963E+00,33.40039,1.344005e-06
50000,64.20134,-5.323693E+00,63.9244,5.343684e-07
50000,136.3743,-7.284786E+00,135.2735,1.840747e-07
50000,62.11102,-4.415116E+00,61.9267,6.657204e-07
50000,35.19914,-6.577793E+00,34.96743,7.894324e-07
50000,15.1205,-1.167251E+01,14.80781,1.04052e-06
50000,8.239315,-1.786771E+02,-8.237119,1.673418e-05
50000,31.07913,+1.744577E+02,-30.93383,-1.060444e-06
50000,58.58693,+1.760458E+02,-58.44746,-7.878827e-07
50000,133.1355,+1.731222E+02,-132.1774,-1.996506e-07
50000,68.91167,+1.740748E+02,-68.54352,-4.474604e-07
50000,32.98346,+1.750411E+02,-32.86,-1.116446e-06
50000,12.82745,+1.710961E+02,-12.67287,-1.603251e-06
50000,10.45581,-5.358359E+00,10.41012,3.259993e-06
50000,33.37005,-7.195654E+00,33.10723,7.615315e-07
50000,60.84431,-4.869952E+00,60.62466,6.162418e-07
50000,140.7302,-5.805944E+00,140.0083,2.23592e-07
50000,62.73346,-3.991173E+00,62.58131,7.289946e-07
50000,35.7648,-6.051413E+00,35.5655,8.442439e-07
50000,11.18926,-5.514817E+00,11.13747,2.960133e-06
50000,10.43247,+1.668304E+02,-10.1581,-1.339196e-06
50000,31.34536,+1.735442E+02,-31.1466,-9.031671e-07
50000,57.46124,+1.760513E+02,-57.32483,-8.044334e-07
50000,137.4085,+1.747118E+02,-136.8236,-2.513433e-07
50000,60.26138,+1.771570E+02,-60.18721,-1.064957e-06
50000,33.37057,+1.757373E+02,-33.27826,-1.283294e-06
50000,8.900007,-1.782256E+02,-8.895739,1.155039e-05
50000,12.9315,-1.680584E+01,12.3792,8.513514e-07
50000,33.68151,-8.252792E+00,33.33271,6.583898e-07
50000,59.75301,-5.160524E+00,59.51081,5.922519e-07
50000,148.4998,-8.577846E+00,146.8387,1.437117e-07
50000,64.21016,-4.189203E+00,64.0386,6.786168e-07
50000,32.04849,-3.562894E+00,31.98654,1.598241e-06
50000,8.793471,+1.137571E+01,8.620722,-1.835232e-06
50000,12.05989,+1.658599E+02,-11.69448,-1.080422e-06
50000,31.75277,+1.740842E+02,-31.58367,-9.726299e-07
50000,61.25641,+1.762011E+02,-61.12181,-7.842986e-07
50000,144.7764,+1.719570E+02,-143.3523,-1.571399e-07
50000,61.61457,+1.769696E+02,-61.52841,-9.77216e-07
50000,29.61468,+1.790154E+02,-29.6103,-6.254688e-06
50000,7.099446,-1.529311E+02,-6.321771,9.852694e-07
50000,14.5806,-1.744739E+01,13.90979,7.281146e-07
50000,34.09625,-8.145351E+00,33.75229,6.58901e-07
50000,63.60865,-4.972401E+00,63.36926,5.773455e-07
50000,150.6356,-7.576963E+00,149.3203,1.602569e-07
50000,61.4069,-4.104555E+00,61.2494,7.242042e-07
50000,29.97365,+8.204930E-02,29.97362,-7.415808e-05
50000,7.092685,+1.534833E+01,6.83972,-1.695538e-06
50000,12.43264,+1.676176E+02,-12.14343,-1.19396e-06
50000,34.18142,+1.743233E+02,-34.01379,-9.414522e-07
50000,61.58006,+1.764635E+02,-61.4628,-8.379916e-07
50000,146.9666,+1.728479E+02,-145.8231,-1.739604e-07
50000,58.86639,+1.770183E+02,-58.7867,-1.039538e-06
50000,27.7365,-1.771176E+02,-27.70141,2.282219e-06
50000,5.669814,-1.459806E+02,-4.699412,1.003463e-06
50000,14.78739,-1.601166E+01,14.21372,7.803914e-07
50000,36.41471,-7.402098E+00,36.11124,6.785e-07
50000,63.87415,-4.572304E+00,63.67088,6.251346e-07
50000,148.8603,-8.521764E+00,147.2169,1.443001e-07
50000,62.87612,-2.734284E+00,62.80453,1.061227e-06
50000,29.59555,+1.565128E-01,29.59544,-3.937287e-05
50000,7.878791,+1.106685E+01,7.732276,-2.104713e-06
50000,13.5271,+1.686251E+02,-13.26139,-1.193104e-06
50000,34.20765,+1.740624E+02,-34.02413,-8.995339e-07
50000,64.21571,+1.744514E+02,-63.91483,-5.126555e-07
50000,146.3593,+1.719291E+02,-144.9096,-1.549063e-07
50000,60.18306,+1.783247E+02,-60.15734,-1.809115e-06
50000,27.21054,-1.773336E+02,-27.18108,2.514632e-06
50000,6.182877,-1.527466E+02,-5.496515,1.124251e-06
50000,15.97179,-1.407481E+01,15.4923,8.195084e-07
50000,36.63434,-7.461801E+00,36.32411,6.690661e-07
50000,66.7169,-6.380908E+00,66.30359,4.292918e-07
50000,154.9242,-1.004657E+01,152.5486,1.177778e-07
50000,64.03493,-4.551015E+00,63.83303,6.264758e-07
50000,33.07442,-4.354031E+00,32.97897,1.267673e-06
50000,9.470298,-5.289246E+00,9.429973,3.646132e-06
50000,9.953137,+1.795378E+02,-9.952813,-3.96442e-05
50000,32.67848,+1.753857E+02,-32.57256,-1.210812e-06
50000,65.48413,+1.733463E+02,-65.04307,-4.195164e-07
50000,152.2035,+1.706910E+02,-150.199,-1.292876e-07
50000,61.25232,+1.764490E+02,-61.13472,-8.390405e-07
50000,30.58777,+1.780597E+02,-30.57024,-3.073583e-06
50000,7.093538,-1.757669E+02,-7.074187,6.079249e-06
50000,12.46996,-6.969226E+00,12.37783,2.103752e-06
50000,35.2247,-6.541061E+00,34.99541,7.9327e-07
50000,68.17338,-7.448839E+00,67.59807,3.601583e-07
50000,149.9407,-8.529143E+00,148.2824,1.431374e-07
50000,77.06479,-6.520074E+00,76.56635,3.637491e-07
50000,33.99284,-7.784282E+00,33.6796,6.91359e-07
50000,13.87191,-1.636803E+01,13.3097,8.142608e-07
50000,6.819004,-1.631157E+02,-6.525057,1.607207e-06
50000,30.41619,+1.770916E+02,-30.37702,-2.062542e-06
50000,70.37373,+1.728601E+02,-69.82802,-3.639094e-07
50000,146.532,+1.721700E+02,-145.1659,-1.594533e-07
50000,62.64521,+1.756206E+02,-62.4623,-6.654112e-07
50000,31.48545,+1.740838E+02,-31.31774,-9.808212e-07
50000,11.2467,+1.668619E+02,-10.95232,-1.245169e-06
50000,8.864439,+4.182980E+00,8.840826,-4.922906e-06
50000,32.85722,-4.763489E+00,32.74373,1.166587e-06
50000,73.03165,-7.832611E+00,72.3503,3.198222e-07
50000,150.0988,-9.861514E+00,147.881,1.238222e-07
50000,62.43467,-5.527586E+00,62.14435,5.292798e-07
50000,35.896,-8.608975E+00,35.49156,5.92394e-07
50000,15.78025,-1.506971E+01,15.23757,7.758413e-07
50000,5.511891,-1.589884E+02,-5.145394,1.610616e-06
50000,34.15289,+1.744369E+02,-33.99202,-9.614109e-07
50000,66.24916,+1.730771E+02,-65.76616,-3.986241e-07
50000,146.4161,+1.705563E+02,-144.4318,-1.324976e-07
50000,59.91894,+1.754604E+02,-59.73097,-6.711909e-07
50000,33.43006,+1.729819E+02,-33.17959,-7.792916e-07
50000,13.35356,+1.678606E+02,-13.05496,-1.133525e-06
50000,7.43505,+6.296150E+00,7.390204,-3.903806e-06
50000,36.49519,-7.048814E+00,36.21935,7.107505e-07
50000,68.63759,-7.637747E+00,68.02865,3.489253e-07
50000,151.3385,-1.230747E+01,147.8604,9.867325e-08
50000,64.33261,-5.515527E+00,64.03476,5.147846e-07
50000,36.80684,-8.070584E+00,36.4423,6.159938e-07
50000,15.93575,-1.424520E+01,15.44575,8.117372e-07
50000,10.32163,+1.780855E+02,-10.31587,-9.231123e-06
50000,35.58115,+1.722671E+02,-35.25759,-6.64863e-07
50000,63.84184,+1.745476E+02,-63.55299,-5.24726e-07
50000,147.5163,+1.681677E+02,-144.3819,-1.052337e-07
50000,61.79234,+1.756929E+02,-61.61783,-6.859035e-07
50000,34.45683,+1.738550E+02,-34.25885,-8.630016e-07
50000,13.53746,+1.690770E+02,-13.29219,-1.240869e-06
50000,12.57956,-7.855411E+00,12.46152,1.851398e-06
50000,37.82272,-9.242957E+00,37.33164,5.239554e-07
50000,66.05058,-6.342521E+00,65.6463,4.36236e-07
50000,157.1687,-1.333606E+01,152.9304,8.780265e-08
50000,65.67858,-4.761633E+00,65.45191,5.83839e-07
50000,38.26825,-7.511482E+00,37.93986,6.362873e-07
50000,11.56265,-7.056231E+00,11.47508,2.240995e-06
50000,12.27376,+1.648230E+02,-11.84568,-9.906016e-07
50000,33.77592,+1.716467E+02,-33.4176,-6.487069e-07
50000,58.90167,+1.747150E+02,-58.65126,-5.866978e-07
50000,154.3909,+1.666929E+02,-150.2456,-8.957339e-08
50000,74.73593,+1.739790E+02,-74.32366,-4.060481e-07
50000,35.94943,+1.737104E+02,-35.73304,-8.082178e-07
50000,9.334473,+1.778817E+02,-9.328094,-9.225399e-06
50000,14.48891,-1.686424E+01,13.86581,7.572848e-07
50000,35.85455,-9.345398E+00,35.37866,5.467114e-07
50000,61.01798,-6.092419E+00,60.67335,4.91523e-07
50000,150.6263,-1.208283E+01,147.2893,1.009548e-07
50000,68.81995,-6.279749E+00,68.40701,4.228496e-07
50000,34.75745,-6.605235E+00,34.52674,7.961575e-07
50000,8.621102,+9.038526E+00,8.514053,-2.350256e-06
50000,13.48052,+1.647844E+02,-13.00796,-8.99692e-07
50000,33.16764,+1.725223E+02,-32.88556,-7.374321e-07
50000,61.99698,+1.754031E+02,-61.79754,-6.406216e-07
50000,146.4396,+1.682258E+02,-143.3584,-1.065234e-07
50000,66.15864,+1.744013E+02,-65.84304,-4.931609e-07
50000,32.34034,+1.748198E+02,-32.20825,-1.090127e-06
50000,6.806904,-1.602831E+02,-6.407824,1.386088e-06
50000,15.63334,-1.638286E+01,14.9986,7.218806e-07
50000,35.27933,-8.610337E+00,34.88171,6.026542e-07
50000,64.21513,-5.306447E+00,63.93992,5.35985e-07
50000,154.0935,-9.303092E+00,152.0667,1.277824e-07
50000,68.10578,-7.289905E+00,67.55527,3.683319e-07
50000,32.99226,-3.914629E+00,32.91528,1.413214e-06
50000,7.772163,+7.891379E+00,7.698562,-2.982991e-06
50000,12.26397,+1.676244E+02,-11.979,-1.211039e-06
50000,34.44901,+1.740731E+02,-34.26487,-8.948373e-07
50000,62.00491,+1.759571E+02,-61.85062,-7.281409e-07
50000,151.1629,+1.712947E+02,-149.4215,-1.39128e-07
50000,73.97682,+1.697982E+02,-72.80724,-2.429385e-07
50000,30.60654,+1.780331E+02,-30.58851,-3.030197e-06
50000,6.006877,-1.589945E+02,-5.607695,1.478302e-06
50000,14.52384,-1.519275E+01,14.01622,8.362887e-07
50000,36.65365,-7.404419E+00,36.34801,6.738668e-07
50000,64.39208,-4.982842E+00,64.14873,5.691291e-07
50000,161.3513,-1.041846E+01,158.6911,1.09092e-07
50000,72.35301,-7.216527E+00,71.77986,3.502166e-07
50000,35.80119,-6.190561E+00,35.59243,8.244998e-07
50000,12.5792,-5.622674E+00,12.51868,2.5827e-06
50000,9.097939,+1.781377E+02,-9.093134,-1.076626e-05
50000,29.95361,+1.775563E+02,-29.92637,-2.492385e-06
50000,60.30913,+1.761857E+02,-60.17554,-7.934127e-07
50000,157.1705,+1.699465E+02,-154.7572,-1.160151e-07
50000,69.58349,+1.734806E+02,-69.13352,-4.028976e-07
50000,33.50025,+1.751432E+02,-33.37997,-1.122267e-06
50000,10.4407,+1.792884E+02,-10.4399,-2.45495e-05
50000,11.21535,-6.776048E+00,11.13701,2.405451e-06
50000,32.14843,-4.240155E+00,32.06044,1.339145e-06
50000,62.6386,-4.722262E+00,62.42597,6.172661e-07
