freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,144.9524,-7.045827E+00,143.8578,1.790237e-07
50000,73.85666,-1.650419E+00,73.82603,1.496404e-06
50000,36.63974,-6.294892E+00,36.41883,7.9233e-07
50000,11.49512,-7.474797E+00,11.39744,2.128592e-06
50000,10.50266,+1.744139E+02,-10.45279,-3.113524e-06
50000,32.18409,+1.751853E+02,-32.07052,-1.178337e-06
50000,58.0216,+1.765143E+02,-57.91426,-9.023331e-07
50000,141.4955,+1.732872E+02,-140.5255,-1.924508e-07
50000,69.46513,+1.732343E+02,-68.9814,-3.889598e-07
50000,34.35361,+1.752147E+02,-34.23386,-1.110707e-06
50000,9.261046,+1.777775E+02,-9.25408,-8.863014e-06
50000,12.84355,-9.860107E+00,12.65383,1.447278e-06
50000,34.46349,-6.435601E+00,34.24632,8.240204e-07
50000,60.35316,-4.291684E+00,60.18393,7.047761e-07
50000,143.4523,-8.606830E+00,141.8368,1.482712e-07
50000,64.90377,-4.652917E+00,64.68988,6.045817e-07
50000,31.63576,-5.272649E+00,31.5019,1.094911e-06
50000,7.795173,-8.150745E-01,7.794385,2.870545e-05
50000,13.10038,+1.703270E+02,-12.91413,-1.446082e-06
50000,32.95799,+1.744484E+02,-32.8034,-9.983218e-07
50000,62.18476,+1.765147E+02,-62.06974,-8.42002e-07
50000,139.9971,+1.717713E+02,-138.5558,-1.588609e-07
50000,62.43502,+1.763408E+02,-62.30774,-7.988394e-07
50000,29.32205,+1.766871E+02,-29.27305,-1.878525e-06
50000,5.697038,-1.682448E+02,-5.577553,2.742479e-06
50000,15.43375,-1.295159E+01,15.04112,9.202015e-07
50000,35.25372,-6.986210E+00,34.99197,7.4234e-07
50000,64.48874,-4.307591E+00,64.30657,6.571487e-07
50000,149.0531,-1.297293E+01,145.2487,9.512851e-08
50000,59.82173,-5.064946E+00,59.58815,6.027049e-07
50000,28.62677,-2.878111E+00,28.59066,2.214499e-06
50000,5.73406,+1.641238E+01,5.500414,-1.964692e-06
50000,13.80699,+1.680046E+02,-13.5055,-1.109269e-06
50000,35.33059,+1.741266E+02,-35.14512,-8.804257e-07
50000,62.11671,+1.753750E+02,-61.91444,-6.355099e-07
50000,145.4061,+1.674431E+02,-141.9281,-1.006912e-07
50000,57.30144,+1.759279E+02,-57.15678,-7.822641e-07
50000,26.29992,+1.795439E+02,-26.29909,-1.520506e-05
50000,4.377077,-1.391543E+02,-3.311145,1.111917e-06
50000,16.16905,-1.410309E+01,15.68169,8.079199e-07
50000,37.66365,-7.119268E+00,37.37328,6.819195e-07
50000,64.47422,-5.377144E+00,64.19049,5.268327e-07
50000,144.835,-8.783403E+00,143.1365,1.439258e-07
50000,62.17082,-4.527082E+00,61.97686,6.48664e-07
50000,29.4091,-1.007624E+00,29.40455,6.154816e-06
50000,7.701125,+1.024990E+01,7.578223,-2.322833e-06
50000,13.34553,+1.688364E+02,-13.09301,-1.231925e-06
50000,33.51469,+1.728237E+02,-33.25215,-7.602757e-07
50000,62.79452,+1.742863E+02,-62.48254,-5.091564e-07
